Lastupdatetime,Temperature,Humidity,CO2,TVOC
20/02/2024 22:24,22,50,400,0
20/02/2024 22:34,22.5,52,410,10
20/02/2024 22:44,23,54,420,20
20/02/2024 22:54,23.5,56,430,30
20/02/2024 23:04,24,58,440,40
20/02/2024 23:14,24.5,60,450,50
20/02/2024 23:24,25,62,460,60
20/02/2024 23:34,25.5,64,470,70
20/02/2024 23:44,26,66,480,80
20/02/2024 23:54,26.5,68,490,90
21/02/2024 00:04,27,70,500,100
21/02/2024 00:14,27.5,72,510,110
21/02/2024 00:24,28,74,520,120
21/02/2024 00:34,28.5,76,530,130
21/02/2024 00:44,29,78,540,140
21/02/2024 00:54,29.5,80,550,150
21/02/2024 01:04,30,82,560,160
21/02/2024 01:14,30.5,84,570,170
21/02/2024 01:24,31,86,580,180
21/02/2024 01:34,31.5,88,590,190
21/02/2024 01:44,32,90,600,200
21/02/2024 01:54,32.5,92,610,210
21/02/2024 02:04,33,94,620,220
21/02/2024 02:14,33.5,96,630,230
21/02/2024 02:24,34,98,640,240
